,Words
the,37
to,34
i,32
and,29
that,19
,19
my,18
of,17
his,15
this,14
not,13
in,13
her,12
with,11
is,11
a,10
as,10
you,10
are,9
for,9
lord,9
will,9
your,9
clarence,9
be,8
hath,8
me,8
by,7
it,7
no,7
what,7
our,6
we,6
am,6
shall,6
king,6
must,5
him,5
do,5
so,5
have,5
day,5
he,5
should,4
before,4
know,4
good,4
at,4
man,4
now,4
made,4
brother,4
which,3
edward,3
hastings,3
unto,3
noble,3
say,3
an,3
news,3
much,3
husband,3
upon,3
deep,3
imprisonment,3
fair,3
all,3
queen's,3
well,3
can,3
george,3
tell,2
cause,2
naught,2
up,2
doubt,2
send,2
pleasing,2
still,2
more,2
hate,2
world,2
says,2
pardon,2
time,2
thought,2
when,2
fatherthe,2
widow,2
mistress,2
beseech,2
soul,2
if,2
were,2
brakenbury,2
may,2
abroad,2
edward's,2
cannot,2
them,2
present,2
safe,2
yet,2
take,2
another,2
majesty,2
wife,2
thee,2
heaven,2
bad,2
thy,2
patience,2
one,2
grace,2
commit,2
on,2
go,2
prophecies,2
they,2
kindred,2
name,2
these,2
live,2
men,2
then,2
prove,2
think,2
thou,2
weak,2
weighty,1
shortly,1
who,1
bruised,1
sent,1
humbly,1
mew'd,1
wrinkled,1
sothat,1
sun,1
night-walking,1
doth,1
entertain,1
dangerousby,1
dogs,1
towerfrom,1
hastingshe,1
done,1
set,1
virtuous,1
gone,1
thoughts,1
mightily,1
prophecy,1
dubb'd,1
hearkens,1
employ,1
diet,1
shore,1
worshipanthony,1
away,1
mercyand,1
why,1
smooth'd,1
hereclarence,1
brotherhoodtouches,1
warwick's,1
timeunless,1
kites,1
knave,1
thesehave,1
make,1
securebut,1
dissembling,1
jealouswe,1
closely,1
shore's,1
looking-glassi,1
sunand,1
imagine,1
chamberto,1
bound,1
proportioncheated,1
clarencewith,1
brakenburybrother,1
instead,1
strut,1
us,1
lip,1
neither,1
conferenceof,1
fright,1
learnhe,1
glorious,1
lady's,1
cherry,1
majestytendering,1
call,1
daysi,1
alack,1
laid,1
buriednow,1
cross-row,1
steedsto,1
themwhy,1
descant,1
but,1
kingto,1
rudely,1
disinherited,1
pleasures,1
murderer,1
there's,1
onewere,1
i'll,1
farewell,1
solus,1
soever,1
lordship,1
paul,1
youmeantime,1
excepting,1
yourshe,1
fall,1
disgrace,1
toys,1
yea,1
shoreheard,1
heaveni'll,1
victorious,1
argumentsand,1
deny,1
give,1
merry,1
kingand,1
youexit,1
issue,1
gracious,1
grey,1
summer,1
chargethat,1
intentby,1
untobut,1
private,1
loverto,1
chamberlain,1
treason,1
lour'd,1
wreathsour,1
upand,1
majestyto,1
from,1
appointedthis,1
new-christen'd,1
complaining,1
buzzards,1
beand,1
none,1
count,1
means,1
pack'd,1
pass,1
run,1
since,1
court,1
reignswhen,1
matter,1
enter,1
discontentmade,1
myself,1
marketclarence,1
wizard,1
struck,1
degree,1
convey,1
brows,1
unfinish'd,1
begins,1
towerbut,1
longand,1
pity,1
even,1
comesenter,1
bed,1
jealous,1
wear,1
kingis,1
chamberlainwell,1
she,1
idle,1
'g'of,1
capers,1
fearful,1
false,1
adversarieshe,1
women'tis,1
highness,1
marches,1
armed,1
toofor,1
libels,1
intentclarence,1
breathing,1
infor,1
saint,1
withalforbear,1
inductions,1
plain,1
betray,1
own,1
prisoners,1
alone,1
path,1
herselfsince,1
letter,1
an't,1
shalt,1
here,1
mew'dwhile,1
reach,1
conduct,1
down,1
lives,1
hethese,1
deformityand,1
evil,1
livewhich,1
towermy,1
abjects,1
yorkand,1
obeybrother,1
stamp'd,1
piping,1
